"scope","required","source_kind","repo_path","current_url","target_r2_key","bytes","sha256","referenced_by","status"
"long-video","yes","r2+local-copy","public/media/blue-beard/shots/shot-01.mp4","https://echovideo.jd.cn/Echo15/media/blue-beard/shots/shot-01.mp4","Echo15/media/blue-beard/shots/shot-01.mp4","735660","30fb896b5b82a0687cc12ea98f4b154a5a3ca3bf3fd1633911f794614e1043e5","script.js case manifest","local-ok"
"long-video","yes","r2+local-copy","public/media/blue-beard/shots/shot-02.mp4","https://echovideo.jd.cn/Echo15/media/blue-beard/shots/shot-02.mp4","Echo15/media/blue-beard/shots/shot-02.mp4","1810898","10dd146f6c41f54b386090d7a2d4769b1803a2c1e4720383756a76953eb53389","script.js case manifest","local-ok"
"long-video","yes","r2+local-copy","public/media/blue-beard/shots/shot-03.mp4","https://echovideo.jd.cn/Echo15/media/blue-beard/shots/shot-03.mp4","Echo15/media/blue-beard/shots/shot-03.mp4","1219848","e190d9965ca8cb5a6aff1e44c3add529be00d0c0d09f5bd2f6e1c4fc9df1ee1a","script.js case manifest","local-ok"
"long-video","yes","r2+local-copy","public/media/blue-beard/shots/shot-04.mp4","https://echovideo.jd.cn/Echo15/media/blue-beard/shots/shot-04.mp4","Echo15/media/blue-beard/shots/shot-04.mp4","1645393","c8ef1d4ce2eea34be4c71874191b28752b5ec7b082973c293563047cc7f66c11","script.js case manifest","local-ok"
"long-video","yes","r2+local-copy","public/media/blue-beard/shots/shot-05.mp4","https://echovideo.jd.cn/Echo15/media/blue-beard/shots/shot-05.mp4","Echo15/media/blue-beard/shots/shot-05.mp4","1935648","dda03fa8ca15191c36bb566bd30ae915dc3cea9f53b29cebb53c451334aa595e","script.js case manifest","local-ok"
"long-video","yes","r2+local-copy","public/media/blue-beard/shots/shot-06.mp4","https://echovideo.jd.cn/Echo15/media/blue-beard/shots/shot-06.mp4","Echo15/media/blue-beard/shots/shot-06.mp4","1489910","b0e1230dcc0a3d5c9e1e8dffb718eb215b775e40bf6d95eb28148df7cae7e045","script.js case manifest","local-ok"
"long-video","yes","r2+local-copy","public/media/source/ancient-times.mp4","https://echovideo.jd.cn/Echo15/media/source/ancient-times.mp4","Echo15/media/source/ancient-times.mp4","43154343","bbe0bda11b7798c1cd50f337dccd84c2482deb8fdfa0667d87663b3adb35f042","long-video demo configuration","local-ok"
"long-video","yes","r2+local-copy","public/media/source/august-23.mp4","https://echovideo.jd.cn/Echo15/media/source/august-23.mp4","Echo15/media/source/august-23.mp4","63549817","a02bee5d9ed66ae917e8492d7b98a3c4bc63dad1cb41ed9db2bef267bdf72bb6","long-video demo configuration","local-ok"
"long-video","yes","r2+local-copy","public/media/source/blue-beard-long.mp4","https://echovideo.jd.cn/Echo15/media/source/blue-beard-long.mp4","Echo15/media/source/blue-beard-long.mp4","79091665","59b240c2615f43ebecc1148adf937b7c968543d78efaa803d202e1d763bfb91f","long-video demo configuration","local-ok"
"long-video","yes","r2+local-copy","public/media/source/radio.mp4","https://echovideo.jd.cn/Echo15/media/source/radio.mp4","Echo15/media/source/radio.mp4","118595487","403947ededdb748486883503d3bdac54bb5cce6d8899c5ff097102c9c4811f7b","long-video demo configuration","local-ok"
"long-video","yes","r2+local-copy","public/media/source/rainbow.mp4","https://echovideo.jd.cn/Echo15/media/source/rainbow.mp4","Echo15/media/source/rainbow.mp4","38883487","ccb34240af567f9e62e240a46d72adcdb6e22e1d60ffebef771db733d8b11e05","long-video demo configuration","local-ok"
"long-video","yes","r2+local-copy","public/media/source/task097.mp4","https://echovideo.jd.cn/Echo15/media/source/task097.mp4","Echo15/media/source/task097.mp4","24251540","e0ed803677865976a77ba531430fcd3f266e52160528a89c01beee1429b2ed84","long-video demo configuration","local-ok"
"long-video","yes","r2+local-copy","public/media/source/the-last-visa.mp4","https://echovideo.jd.cn/Echo15/media/source/the-last-visa.mp4","Echo15/media/source/the-last-visa.mp4","70224968","4056cc606f85d458cbb40ca9d7702247900a1efb7d4ec3db91ddf68821c3fa9f","long-video demo configuration","local-ok"
"world-model","yes","r2-only","","https://echovideo.jd.cn/Echo15/game1.mp4","Echo15/game1.mp4","55726674","","literal BOS URL in source","http-200"
"world-model","yes","r2-only","","https://echovideo.jd.cn/Echo15/game3.mp4","Echo15/game3.mp4","42697159","","literal BOS URL in source","http-200"
"world-model","yes","r2-only","","https://echovideo.jd.cn/Echo15/ti2av_r000_demo424_d0181-wmb-t27_seed1_continuous_ui.mp4","Echo15/ti2av_r000_demo424_d0181-wmb-t27_seed1_continuous_ui.mp4","20017148","","literal BOS URL in source","http-200"
"world-model","yes","r2-only","","https://echovideo.jd.cn/Echo15/ti2av_r007_sana_c102-hard-indoor_003_seed3_continuous_ui.mp4","Echo15/ti2av_r007_sana_c102-hard-indoor_003_seed3_continuous_ui.mp4","11342014","","literal BOS URL in source","http-200"
"world-model","yes","r2-only","","https://echovideo.jd.cn/Echo15/ti2av_r010_demo424_d0179-wmb-t25_seed16_continuous_ui.mp4","Echo15/ti2av_r010_demo424_d0179-wmb-t25_seed16_continuous_ui.mp4","21335556","","literal BOS URL in source","http-200"
"world-model","yes","r2-only","","https://echovideo.jd.cn/Echo15/wm-on-screen-voice-cat-original-seed12.mp4","Echo15/wm-on-screen-voice-cat-original-seed12.mp4","1922289","","literal BOS URL in source","http-200"
"world-model","yes","r2+local-copy","public/wm/assets/media/abandoned-room.mp4","https://echovideo.jd.cn/Echo15/wm/assets/media/abandoned-room.mp4","Echo15/wm/assets/media/abandoned-room.mp4","9519665","f5c020411f6c5d537ac7ea01079150f132a59d6a0a80c6ee88434f9eba024af6","wm/index.html","local-ok"
"world-model","yes","r2+local-copy","public/wm/assets/media/alien-jungle.mp4","https://echovideo.jd.cn/Echo15/wm/assets/media/alien-jungle.mp4","Echo15/wm/assets/media/alien-jungle.mp4","7717288","5d101e33e3da2b6a60bca8dcca7a1cadc194fd6247d54c1eac5a39cc05cdb37a","wm/index.html","local-ok"
"world-model","yes","r2+local-copy","public/wm/assets/media/astronaut-blackhole.mp4","https://echovideo.jd.cn/Echo15/wm/assets/media/astronaut-blackhole.mp4","Echo15/wm/assets/media/astronaut-blackhole.mp4","4508565","03b516093ab3b9f9663e6222f8a9c4321acd24c4227dc5a3e6f1bb03cd1ac9cf","wm/index.html","local-ok"
"world-model","yes","r2+local-copy","public/wm/assets/media/biomech-horse.mp4","https://echovideo.jd.cn/Echo15/wm/assets/media/biomech-horse.mp4","Echo15/wm/assets/media/biomech-horse.mp4","13289174","b751db8e3ef08176ff14c6ee14fc1654c7c1c2727e3c1a5b25acc9847517cdc4","wm/index.html","local-ok"
"world-model","yes","r2+local-copy","public/wm/assets/media/bloodstream.mp4","https://echovideo.jd.cn/Echo15/wm/assets/media/bloodstream.mp4","Echo15/wm/assets/media/bloodstream.mp4","7453708","db3bfffa6f9fbc9e4ae58fda3af6a78078df245db6de2557c9b2602c1cbc8118","wm/index.html","local-ok"
